team_name,team_avg_goals_per_match,team_avg_goals_conceded,team_clean_sheet_rate,matches_played,goals_scored_total,goals_conceded_total,clean_sheets,team_avg_shots
Brentford,1.5,1.4736842105263157,0.2368421052631578,152,228,224,36,8.59
Arsenal,2.0328947368421053,1.013157894736842,0.3815789473684211,152,309,154,58,10.77
Manchester United,1.4210526315789471,1.394736842105263,0.2894736842105263,152,216,212,44,9.87
Leeds,1.1842105263157894,2.0657894736842106,0.131578947368421,76,90,157,10,8.58
Watford,0.8947368421052632,2.026315789473684,0.1052631578947368,38,34,77,4,7.74
Aston Villa,1.5592105263157894,1.394736842105263,0.2631578947368421,152,237,212,40,9.08
Burnley,0.986842105263158,1.7236842105263157,0.1447368421052631,76,75,131,11,8.17
Brighton,1.5460526315789471,1.4342105263157894,0.2434210526315789,152,235,218,37,10.32
Everton,1.0460526315789471,1.4342105263157894,0.2763157894736842,152,159,218,42,8.38
Southampton,0.9210526315789472,1.9824561403508767,0.131578947368421,114,105,226,15,7.62
Leicester,1.280701754385965,1.8157894736842104,0.1491228070175438,114,146,207,17,7.67
Wolves,1.138157894736842,1.5460526315789471,0.2302631578947368,152,173,235,35,8.06
Chelsea,1.6776315789473684,1.2236842105263157,0.2960526315789473,152,255,186,45,10.58
Crystal Palace,1.3026315789473684,1.3421052631578947,0.2763157894736842,152,198,204,42,8.28
Norwich,0.6052631578947368,2.210526315789474,0.1578947368421052,38,23,84,6,6.94
Liverpool,2.2434210526315788,1.019736842105263,0.3881578947368421,152,341,155,59,12.82
Newcastle,1.743421052631579,1.3421052631578947,0.2960526315789473,152,265,204,45,9.77
West Ham,1.368421052631579,1.5921052631578947,0.1907894736842105,152,208,242,29,8.73
Tottenham,1.822368421052632,1.506578947368421,0.2565789473684211,152,277,229,39,9.8
Manchester City,2.375,0.9013157894736842,0.3947368421052631,152,361,137,60,12.27
Fulham,1.4385964912280702,1.4736842105263157,0.2105263157894736,114,164,168,24,9.0
Nottingham Forest,1.2719298245614037,1.587719298245614,0.219298245614035,114,145,181,25,8.22
Bournemouth,1.3070175438596492,1.6140350877192982,0.2280701754385964,114,149,184,26,9.85
Luton,1.368421052631579,2.236842105263158,0.0526315789473684,38,52,85,2,7.82
Sheffield Utd,0.9210526315789472,2.736842105263158,0.0263157894736842,38,35,104,1,6.94
Ipswich,0.9473684210526316,2.1578947368421053,0.0526315789473684,38,36,82,2,7.06
Sunderland,1.4871794871794872,1.4871794871794872,0.24786324786324787,117,174,174,29,8.958846153846155
